,0,1
108,alcohol,6
109,karens,6
110,hand sanitizer,6
111,purell,6
112,quarantine snacks,6
113,flu infected people,6
114,2020,6
115,florida,6
116,us government,5
117,donald tump,5
118,american people,5
119,us,5
120,teachers,5
121,pornhub,5
122,climate change,5
123,greta thunberg,5
124,millenials,5
125,governments,5
126,antivaxxers,5
127,wuhan,5
128,jill biden,5
129,archaelogists,5
130,leonardo di caprio,5
131,third party,5
132,nazi,5
133,abrahm lincoln,5
134,chuck schumer,5
135,ronald reagan,5
136,maxine waters,5
137,orange,4
138,pifzer,4
139,nbc news,4
140,h1n1 flu,4
141,parents,4
142,mexicans,4
143,liberals,4
144,children,4
145,corona,4
146,queen elizabeth,4
147,police,4
148,robert downey jr.,4
149,election,4
150,disinfectants,4
151,time traveller,4
152,andrew cuomo,4
153,students,4
154,doanld trump,4
155,zoom meeting,4
156,home school,4
157,high temperatures,4
158,ipods,4
159,jim carter,4
160,corn,4
161,orlando,4
162,car,4
163,fly,4
164,president,4
165,democrat party,4
166,alexandria ocasio-cortez,4
167,iowa,4
168,healthcare,4
169,black lives matter (blm),4
170,presidential debate memes,4
171,libertarian candidates,4
172,sarah palin,4
173,illegal immigrants,4
174,libertarian,4
175,jeb bush,4
176,jo jorgensen,4
177,republian party,4
178,grand old party (gop) debate,4
179,islamic state of iraq and syria (isis),4
180,bill weld,4
181,paul ryan,4
182,vice president,4
183,libertarian party of indiana,4
184,chinese,3
185,hanta virus,3
186,chinese coronavirus,3
187,media house,3
188,chinese communist party,3
189,covid19 patients,3
190,government officials,3
191,t-shirt,3
192,doctors,3
193,lysol,3
194,world,3
195,virologists,3
196,tedros adhanom ghebreyesus,3
197,humans,3
198,scientists,3
199,chinavirus,3
200,h1n1 virus,3
201,queen,3
202,virat kohli,3
203,swine flu,3
204,voters,3
205,vicks vaporub,3
206,indian premiere league,3
207,main stream media,3
208,people born in march/ april,3
209,corona testing,3
210,other preventive measures,3
211,masks,3
212,coornavirus,3
213,covid20,3
214,tissue paper,3
215,osama bin laden,3
216,professors,3
217,trump mask,3
218,work for home,3
219,saudi arabia,3
220,2020-04-01 00:00:00,3
221,christmas,3
222,coronavirus pandemic,3
223,washing hands,3
224,cdc (centre for disease control),3
225,media,3
226,shrek super party,3
227,etch a sketch,3
228,libertarian party of colorado,3
229,presidency of the united states,3
230,joseph robinette biden jr.,3
231,riots,3
232,horse,3
233,political parties,3
234,libertarian party voters,3
235,republican voters,3
236,green party voters,3
237,pope francis,3
238,new democratic party (ndp),3
239,asylum seekers,3
240,muslims,3
241,soviet union,3
242,gay marriage,3
243,plants,3
244,knuckle sandwich,3
245,mario party,3
246,presidential debates,3
247,chucky the doll,3
248,ron paul,3
249,jared kushner,3
250,samuel l. jackson,3
251,political party,3
252,vladirmir putin,3
253,conservatives,3
254,libertarians party,3
255,rand paul,3
256,sean hannity,3
257,democratic presidential debate,3
258,gop debate,3
259,libertarian ideas,3
260,democratic debate,3
261,votes,3
262,ruth bader ginsburg,3
263,richard nixon,3
264,milton friedman,3
265,donald turmp,3
266,meme,3
267,statue of liberty,3
268,libertarian party of illinois,3
269,maxine walters,3
270,washington dc,3
271,uk government,2
272,chinese new year,2
273,bubonic plague,2
274,experimental vaccine,2
275,coronavirus patients,2
276,pandemic,2
277,unemployement,2
278,chef,2
279,russian scientists,2
280,hydrochloroquine,2
281,russia vaccine,2
282,toilet papers,2
283,donald trump supporter,2
284,jeffrey epstein,2
285,africa,2
286,united nations,2
287,herald newspaper,2
288,american government,2
289,us citizens,2
290,campaign rallies,2
291,public health experts,2
292,the daily show,2
293,u.s. immigration and customs enforcement's (ice),2
294,the guardian,2
295,boss,2
296,mother nature,2
297,everyone,2
298,world war 3,2
299,chinese virus,2
300,dr. anthoy fauci,2
301,cybersecurity people,2
302,who,2
303,world health organisation,2
304,donald trump administration,2
305,chinese exchange students,2
306,bill gates,2
307,viruses,2
308,k.l. rahul,2
309,aliens,2
310,avian flu,2
311,royal challengers bangalore (rcb),2
312,public,2
313,vicksvaporub,2
314,prince charles,2
315,ibruprofen,2
316,plague,2
317,bats,2
318,grocery store,2
319,diy mask,2
320,god,2
321,united states of america,2
322,titanic,2
323,travelling people,2
324,santa claus,2
325,family of 6 members,2
326,keanu reeves,2
327,arvind kejriwal,2
328,boomers,2
329,genx,2
330,normal people,2
331,quentin tarantino,2
332,anthony fauci,2
333,simpsons,2
334,the simpsons,2
335,bat soup,2
336,finland,2
337,italy,2
338,commerical,2
339,quarantine snack,2
340,human resources,2
341,people who invented the covid19 vaccine,2
342,migraine patients,2
343,antivaxxer,2
344,earth,2
345,bars,2
346,batman,2
347,introverts,2
348,american lives,2
349,las vegas,2
350,people with normal fever,2
351,google classroom,2
352,jason momoa,2
353,chuck norris,2
354,canada,2
355,ear pods,2
356,anti vaxxer,2
357,donald trump mask,2
358,work form home,2
359,wuhan virus memes,2
360,jimmy carter,2
361,chinese communist party (ccp),2
362,work from home memes,2
363,economy,2
364,travel bloggers,2
365,north korea,2
366,plagues,2
367,mexico,2
368,the wall,2
369,tiger king,2
370,corona safe beer,2
371,russian corona vaccines,2
372,coronavirus vaccines,2
373,preventive measures,2
374,stay home,2
375,pre covid,2
376,new york,2
377,sheldon,2
378,carol baskin,2
379,tom hanks,2
380,daylight savings time,2
381,simran,2
382,people with flu,2
383,airport fashion 2019 vs 2020,2
384,online school,2
385,italians,2
386,people with coronavirus,2
387,angela merkel,2
388,janta curfew,2
389,janata curfew,2
390,racism,2
391,horror movie,2
392,world health organisation (who),2
393,us flag,2
394,donlad trump,2
395,jagerbombs,2
396,democratic-republican party,2
397,air,2
398,and land (seals),2
399,united states navy sea,2
400,and land (seal),2
401,george soros,2
402,hair,2
403,jobs,2
404,joe biden-barack obama memes,2
405,democrats 1961,2
406,democrats 2018,2
407,us politics,2
408,medal of freedom,2
409,federal bureau of investigation (fbi),2
410,libertarian voters,2
411,livestock industries,2
412,the pope,2
413,make america great again (maga) fools,2
414,new democratic party,2
415,australian government,2
416,guns,2
417,united states,2
418,joe biden memes,2
419,dnc (democratic national committee),2
420,consituition party,2
421,united states courts,2
422,united states court,2
423,political memes,2
424,mr. beast,2
425,ocasio cortez,2
426,vice presidential debate meme,2
427,libertarianism,2
428,captain america civil war,2
429,ben fernandez,2
430,blinders,2
431,bloomberg politics,2
432,vp debate,2
433,vice president debate,2
434,tim kaine,2
435,country,2
436,sheev palpatine,2
437,democrat community organiser,2
438,democrat community organizer,2
439,oprah winfrey,2
440,white house,2
441,anti american commie democrat,2
442,murray rothbard,2
443,presidential debate moderator,2
444,2016,2
445,green party voter,2
446,arvin vohra,2
447,george washington,2
448,heathcare,2
449,ben garson,2
450,editorial cartoon,2
451,editorial cartoons,2
452,libertarian party of florida,2
453,beto o'rourke,2
454,party,2
455,beto o' rourke,2
456,2020 election,2
457,donad trump,2
458,wallmart,2
459,aligator,2
460,billionaires,2
461,billionnaires,2
462,steel chair,2
463,carly fiorina,2
464,george h. w. bush,2
465,chris christie,2
466,msnbc,2
467,two party system,2
468,c-span2,2
469,the people,2
470,barack obama meme,2
471,presidential election,2
472,republican party platform,2
473,alexandria ocasio cortez,2
474,donkey,2
475,donald trump junior,2
476,joe biden supporters,2
477,donald trump supporters,2
478,st. patrick's day,2
479,justin beiber,2
480,justin bieber,2
481,democrat,2
482,presidential debate 2020,2
483,stacey abrams,2
484,poor people,2
485,george w bush,2
486,libertarian ideals,2
487,adam schiff,2
488,american politics,2
489,francis pope,2
490,vice president (vp),2
491,the republlican party,2
492,stockholm syndrome,2
493,msnbc news,2
494,bad hombres,2
495,fox and friends,2
496,valerie biden,2
497,great old party (gop) debate,2
498,white supermacist,2
499,victoria secrets,1
500,great wall of china,1
501,coughing chinese student,1
502,chinese students,1
503,bikers,1
504,trip to china,1
505,lars printzen,1
506,workers,1
507,funny mask,1
508,russia,1
509,hilary clinton,1
510,cholera outbreak,1
511,cholera,1
512,charlie kirk,1
513,covid 19 vaccine,1
514,media houses,1
515,kim-jong un,1
516,online gamers,1
517,spanish people,1
518,hong kong protestors,1
519,hong kong,1
520,quaratine food,1
521,china wuhan coronavirus,1
522,right wing,1
523,harvey weinstein,1
524,corona extra,1
525,norton antivirus mask,1
526,norton antivirus antivirus,1
527,amitabh bachchan,1
528,amitabh bacchan,1
529,amit shah,1
530,vaccine phase 3 trial,1
531,hantavirus,1
532,tsingtao beer,1
533,hydroxychloroquine,1
534,chinese outbreak,1
535,corona vaccine,1
536,lei-meng yan,1
537,kakashi hatake,1
538,hand santitizer,1
539,mass rapid transit (mrt),1
540,tshirt,1
541,quarantine week,1
542,air freshner,1
543,tump supporter,1
544,valdimir puitin,1
545,vladimir puitin,1
546,nancy peloci,1
547,wuhan people,1
548,doctor,1
549,mr.stark,1
550,spiderman,1
551,muhammad sarim akhtar,1
552,among us,1
553,united nations (un),1
554,facebook,1
555,chinese people,1
556,covid 19 cases,1
557,covid19 cases,1
558,berine sanders,1
559,word health organisation,1
560,baby,1
561,american citizens,1
562,usa government,1
563,protestors,1
564,picture,1
565,trevor noah,1
566,pete buttigieg,1
567,lisol,1
568,lizol,1
569,bbc news,1
570,cigarette,1
571,mobile,1
572,student,1
573,flu vaccine,1
574,tmz news,1
575,apocalypse outfit,1
576,kobe bryant,1
577,donald trump's staff,1
578,cid,1
579,gondor,1
580,new york city,1
581,assault rifle,1
582,thailand,1
583,times square,1
584,carl elemen,1
585,ludo king,1
586,coronavirus transmission,1
587,asian people,1
588,emmanuel macron,1
589,chinese products,1
590,tony stark,1
591,chunky pandey,1
592,i4,1
593,chinese product,1
594,tiwan,1
595,people of delhi,1
596,main stream media (msm),1
597,hip,1
598,hiv,1
599,human papillomavirus,1
600,minnesota,1
601,people travelling in 2020,1
602,us population,1
603,states opening too soon,1
604,second wave of coronavirus,1
605,microsoft meeting,1
606,coronavirus mask,1
607,sonu sood,1
608,bill & melinda gates foundation,1
609,chian virus,1
610,hot water,1
611,deanne lorraine,1
612,grand old party,1
613,rishabh pant,1
614,shikhar dhawan,1
615,snack hoarding,1
616,symptoms of coronavirus,1
617,stock market,1
618,umar akmal,1
619,blood cough,1
620,kelis rogers,1
621,royal challangers bangalore,1
622,socks,1
623,cgi rita ora,1
624,rita ora,1
625,boris johnson,1
626,karen essential oils,1
627,meteorite,1
628,elected officials,1
629,dalgona coffee,1
630,iran,1
631,fun spot america theme parks,1
632,fun spot,1
633,hop scotch club,1
634,dwayne johnson,1
635,madagascar,1
636,greenland,1
637,people of up,1
638,house,1
639,shutdown,1
640,avian,1
641,election year,1
642,april fool's day,1
643,moderna,1
644,china coronavirus,1
645,robert pattinson,1
646,anti-virus,1
647,adam,1
648,eve,1
649,pornhub executives,1
650,mexican druglord pablo escobar,1
651,black mirror,1
652,engineering students,1
653,engineering people,1
654,rob schneider,1
655,william shakespeare,1
656,vicks,1
657,pets,1
658,anglo americans,1
659,pubs,1
660,tamil nadu,1
661,south korea,1
662,corona vius,1
663,russian vodka,1
664,universal studios,1
665,india lockdown announcement,1
666,india lockdown execution,1
667,lockown,1
668,anthony adams,1
669,other students,1
670,mobile phone,1
671,microsoft teams,1
672,wilson wilson jr.,1
673,commerative jewellery (tissue pattern earrings),1
674,face time,1
675,donals trump,1
676,costco water,1
677,british,1
678,covid19 palliative warehouse,1
679,anri-vaxxers,1
680,anti-vaxxer's parents,1
681,lee hsien loong,1
682,global media,1
683,seasonal flu,1
684,corona memes,1
685,indonesians,1
686,mumbai indians (mi),1
687,ipl fans,1
688,chennai super kings (csk),1
689,delhi daredevils (dd),1
690,jounralists,1
691,journallists,1
692,coronavirus publicist,1
693,maga hats,1
694,sick people,1
695,grocery,1
696,wish.com,1
697,orders,1
698,tentin quarantino,1
699,people with chronic illness,1
700,justin timberlake,1
701,hermione,1
702,daniel radcliffe,1
703,harry potter,1
704,emma charlotte,1
705,people complaining for covid19 quarantine,1
706,jaws mayor,1
707,people complaining about covid 19 quarantine,1
708,qurantine,1
709,taliban fighters,1
710,jason voorhees,1
711,companies,1
712,bat,1
713,national hockey league (nhl),1
714,monkey,1
715,anushka sharma,1
716,haircut,1
717,vancoouver,1
718,k.l.rahul,1
719,nursing school,1
720,governor andy beshear,1
721,kentucky,1
722,andy beshear,1
723,denmark.,1
724,literate people,1
725,architects,1
726,architecture,1
727,organizations,1
728,bruce aylward,1
729,sapnish influenza,1
730,no time to die,1
731,black death,1
732,spanish flu,1
733,rick astley,1
734,health care workers,1
735,healthcare workers,1
736,american crisis,1
737,national health service (nhs),1
738,russian covid19 vaccine,1
739,isarelis,1
740,sweaters,1
741,unvaccinated children,1
742,pharmacist,1
743,indian council of medical research (icmr),1
744,grand children,1
745,mona lisa,1
746,smirnoff,1
747,vaccine,1
748,anitvaxxers,1
749,anti-vaxxers parents,1
750,salman khan,1
751,planet,1
752,astronaut,1
753,moon,1
754,game of thrones,1
755,us state department,1
756,us state deparment communications,1
757,wuhan bio terror laboratory,1
758,donald trunmp,1
759,face mask industry,1
760,coronavrius meme,1
761,trump administration,1
762,donald trump suporters,1
763,hair cuts,1
764,houston astros,1
765,asians,1
766,china. us,1
767,rest of the world,1
768,jesus christ,1
769,zoom call,1
770,fever infected people,1
771,veterans hospitals,1
772,bigfoot,1
773,sasquatch/ bigfoot,1
774,coronavirus kits,1
775,carolyn goodman (las vagas mayor),1
776,kathy hochul,1
777,goya,1
778,lime,1
779,traditional pos systems,1
780,coworker,1
781,front line workers,1
782,trump adminisatration,1
783,hair cut,1
784,travel influncers,1
785,trump supporter,1
786,andy,1
787,humann,1
788,coronavirus patient,1
789,right-wing,1
790,gorcery shop,1
791,jennifer aniston,1
792,bill gate's vaccine,1
793,bill gates vaccine,1
794,airpods,1
795,cornell medical school,1
796,halloween mask,1
797,hillary mask,1
798,surgical mask,1
799,facemask,1
800,hydro pill,1
801,hyrdro pill,1
802,obamist,1
803,work at home,1
804,meetings,1
805,lone ranger,1
806,pope fransis,1
807,yoga at home,1
808,zoom,1
809,contruction workers,1
810,state bank of india (sbi),1
811,immigrants,1
812,lebanese government,1
813,the executioners,1
814,zookeepers,1
815,zoom work meeting,1
816,vius,1
817,coronavirus officers,1
818,local health department,1
819,winnie the pooh,1
820,glf news,1
821,joey,1
822,us president,1
823,wuhan lab,1
824,chinese women,1
825,rapist,1
826,chicken pox,1
827,chickenpox parties,1
828,marine drivers,1
829,orange county,1
830,wuhan coronavirus memes,1
831,chinese restaurant. mom,1
832,snack,1
833,video conference,1
834,corona virus,1
835,liberty,1
836,sports commentrators,1
837,ea sports,1
838,work from home yoga pants,1
839,wuhan virus alcohol,1
840,employed women,1
841,jonathan gruber,1
842,pilots,1
843,painters,1
844,uber eats,1
845,video call,1
846,working from home memes,1
847,diseases,1
848,zika virus,1
849,recuiter,1
850,wuhan football team,1
851,phillipine,1
852,bacteria,1
853,sbi employee,1
854,harshad malya,1
855,guy eating bat soup in china,1
856,people of spain,1
857,corona extra drink,1
858,trump followers,1
859,second wave of covid19,1
860,chinese finger trap,1
861,wuhan virus plague,1
862,lukas and larae,1
863,angel moroni’s trumpet,1
864,angel moroni trumpet,1
865,the guy who ate bat,1
866,worldwide stock market,1
867,guy who ate bat,1
868,zoom video conferencing,1
869,centres for disease control and prevention,1
870,centres for disease control (cdc),1
871,california,1
872,world health organization (wo),1
873,people at world health organisation,1
874,cdc certified mask,1
875,shadong,1
876,shadong province,1
877,holding hands,1
878,liqour,1
879,denmark,1
880,dinosaur,1
881,covid19 lockdown,1
882,coronavirus. t-shirt,1
883,gas mask,1
884,social distancing norms,1
885,2028,1
886,screen,1
887,people drinking bat soup in china,1
888,people eating live rats in china,1
889,indian chinese gobi manchurian,1
890,pneumoina,1
891,harpic,1
892,thanos snap sanitizer,1
893,bra,1
894,lngerie,1
895,liquor shop,1
896,spring break,1
897,russian nurse nadia,1
898,genz,1
899,india-china standoff,1
900,mumbai,1
901,tier 2 cities,1
902,chennai,1
903,long distance,1
904,long distance haircut,1
905,indianboys,1
906,girls,1
907,covid19 alerts,1
908,govt officials,1
909,covid19 restrictions,1
910,hallunications,1
911,101 years old holocust and spanish flu surviver,1
912,coronavirus survivor,1
913,post covid,1
914,pay check,1
915,coolie no. 1,1
916,varun dhawan,1
917,khabib vs tony,1
918,ultimate fighting championship (ufc),1
919,malayasians,1
920,muhyiddin yassin,1
921,amazon prime,1
922,netflix,1
923,red card,1
924,dr. bonnie henry,1
925,comapny,1
926,national broadband network,1
927,national broadcast network (nbn),1
928,ww3 memes,1
929,covid19 meme,1
930,world war 3 (ww3),1
931,siracha hand sanitizer,1
932,thomas,1
933,face,1
934,flu,1
935,social distance,1
936,education system,1
937,covid19 patient,1
938,namaste,1
939,vulcan,1
940,high five,1
941,handshake,1
942,kiss,1
943,fist bump,1
944,corona kapoor,1
945,airport,1
946,ship,1
947,island,1
948,plane,1
949,school,1
950,mariah carey,1
951,credit cards,1
952,wear a mask,1
953,safe distance,1
954,erthquake,1
955,quarantine wine mixer,1
956,pre covid19,1
957,covid memes,1
958,centers for disease control and prevention,1
959,centers for disease control (cdc),1
960,milkshakes,1
961,the glen,1
962,drive-in theatre,1
963,twilight imperium,1
964,vicodin,1
965,team and whiteboard,1
966,bowling alley shoe spray,1
967,bowing alley shoe spray,1
968,brown alley shoe spray,1
969,covid29,1
970,extroverts,1
971,wrong mask,1
972,adulthood,1
973,real life,1
974,idiots denying covid19,1
975,covidiots,1
976,brain damange,1
977,cheimstry teachers,1
978,bottoms,1
979,homemade mask,1
980,exams,1
981,spain,1
982,people born in march/april,1
983,raavan,1
984,covid death,1
985,croonavirus memes,1
986,coronavirus ringtone,1
987,human civilisation,1
988,tissue papers,1
989,2021,1
990,coronavirus prevention,1
991,plague inc,1
992,coornavirus prevention,1
993,vodka,1
994,disinfectant spray,1
995,chicken,1
996,library,1
997,earthquake,1
998,coronavirus book of memes,1
999,2020-06-01 00:00:00,1
1000,home alone 2: lost in new york,1
1001,people with fever,1
1002,self isolation,1
1003,villain,1
1004,coronavirus stockpile,1
1005,pm modi,1
1006,premium account,1
1007,goa way,1
1008,2020 tokyo olympics,1
1009,alcohol and high temperatures,1
1010,post quarantine,1
1011,normal sick people,1
1012,normal people vs people with coronavirus,1
1013,female leaders,1
1014,online schools,1
1015,facetime,1
1016,the cure band,1
1017,shangai,1
1018,pda,1
1019,chronic illness memes,1
1020,c major,1
1021,pilot,1
1022,people with normal fever vs people with coronavirus,1
1023,real estate agent,1
1024,coronavirus meme,1
1025,quarantined,1
1026,apocalypse,1
1027,boyfriend,1
1028,flexing in 2019 vs 2020,1
1029,coronavirus preventive measures,1
1030,phone calls,1
1031,covd 19,1
1032,murders,1
1033,toxic relationship,1
1034,self quarantine,1
1035,koala,1
1036,people with normal flu,1
1037,working at home,1
1038,thanos,1
1039,railroad workers,1
1040,less traffic,1
1041,star wars,1
1042,pollution,1
1043,less pollution,1
1044,crawls,1
1045,battle ship,1
1046,navy people,1
1047,rodents,1
1048,kid,1
1049,mother,1
1050,new teachers,1
1051,allah. girls,1
1052,antivaxx,1
1053,anti-vax kid,1
1054,romaninan,1
1055,sock market,1
1056,saudi,1
1057,oil wars,1
1058,handwash,1
1059,chest tightness,1
1060,covid19 quarantine,1
1061,clorox,1
1062,supermarket,1
1063,online classes,1
1064,drinks,1
1065,teaher,1
1066,quarantine life,1
1067,david willey,1
1068,queen elizabeth's son,1
1069,pfizer,1
1070,virus,1
1071,wipers,1
1072,goat,1
1073,homeoffice,1
1074,tony vs. khabib,1
1075,pornhub exces,1
1076,pornhub execs,1
1077,conference call,1
1078,student organizations,1
1079,bangels,1
1080,quaranitned,1
1081,arranged marriage,1
1082,arrange marriage,1
1083,auto rickshaw,1
1084,work from other,1
1085,modiji,1
1086,delhi people,1
1087,sanitising,1
1088,whole world,1
1089,vladimir putin russian vaccine,1
1090,asteroid,1
1091,asteroids,1
1092,thakur,1
1093,ola drivers,1
1094,uber/ola drivers,1
1095,ramdas athavale,1
1096,net,1
1097,coworkers,1
1098,usa. china,1
1099,travelling,1
1100,russian,1
1101,jil stein,1
1102,oval office,1
1103,will smith,1
1104,liberal party,1
1105,liberatarians,1
1106,democratics,1
1107,chocolate,1
1108,demolay international,1
1109,libertarian party (lp),1
1110,left party (lp),1
1111,vice prime minister,1
1112,local business owners,1
1113,shop keepers,1
1114,indegenous people,1
1115,refugee,1
1116,the imperial march,1
1117,imperial march,1
1118,illegals,1
1119,dunkin donuts,1
1120,joshua smith,1
1121,duck toasters,1
1122,tax,1
1123,healthcare plan,1
1124,society,1
1125,washington (wa),1
1126,keynesian economics,1
1127,democrats’s primary,1
1128,onald trump,1
1129,ozzy osbourne,1
1130,america people,1
1131,barack obama. michelle obama,1
1132,birth certificate,1
1133,politician,1
1134,communists,1
1135,republican party healthcare plan,1
1136,libertarian party presidential debate,1
1137,5 year old,1
1138,heroine,1
1139,cannabidiol (cbd) gummies,1
1140,vice presidential memes,1
1141,british foreign secretary,1
1142,roe vs wade,1
1143,the rock (dwayne johnson),1
1144,dr. dr. anthony fauci,1
1145,presidential medal,1
1146,non-whites,1
1147,leonardo decaprio,1
1148,libertian party of colorado,1
1149,candidates for president,1
1150,presidential candidates,1
1151,loan,1
1152,civil war,1
1153,mark zuckerberg,1
1154,presidential suite,1
1155,vice presidential debate memes,1
1156,cigarettes,1
1157,pakistani,1
1158,bill cosby,1
1159,mexican,1
1160,presidential medal of freedom,1
1161,libertariansim,1
1162,presidency of united states,1
1163,george sorors,1
1164,parties,1
1165,illegal aliens,1
1166,chewbacca,1
1167,tea party news,1
1168,make america great again(maga),1
1169,terrorists,1
1170,debate moderator,1
1171,refugees,1
1172,indigenous people,1
1173,australian governemnt,1
1174,australians immersed in us politics,1
1175,political debate,1
1176,anti-american commie democrats,1
1177,new urbanist memes for transit-oriented teens (numtot),1
1178,donald trump vote,1
1179,green party vote,1
1180,presedential debate moderator,1
1181,libertarian candiates,1
1182,libertarian voter,1
1183,republican voter,1
1184,juulu charger,1
1185,neil gorsuch,1
1186,environment,1
1187,mr. walker,1
1188,australian labor party,1
1189,scott morrison,1
1190,skrek,1
1191,deomcratic party,1
1192,deplorable,1
1193,mario,1
1194,liberals (libs),1
1195,benjamin netanyahu,1
1196,manmohan singh,1
1197,twitter,1
1198,american families,1
1199,illegal immrigrants,1
1200,tax payers,1
1201,michelle obama. curtains,1
1202,unle sam,1
1203,joe biden donald trump barack obama memes,1
1204,jim carrey,1
1205,investigative journalism,1
1206,sian berry,1
1207,siân berry,1
1208,amal shookup,1
1209,elvis presley,1
1210,the libertarian party of colorado,1
1211,geogre soros,1
1212,american civil liberties union (aclu),1
1213,joe biden rally,1
1214,wall street,1
1215,capitalist democrats,1
1216,captialism,1
1217,repubilcan party of kentucky,1
1218,amy conney bannet,1
1219,anit-american commie democrats,1
1220,state governer,1
1221,wealthy elites,1
1222,ludwig von mises,1
1223,red wave redemption,1
1224,sirius black,1
1225,debbie wasserman shultz,1
1226,impeachment committee,1
1227,democratic party national convention,1
1228,green party activist,1
1229,uk independence party (ukip),1
1230,ramon menon,1
1231,grren party,1
1232,nascar,1
1233,communist voting machine,1
1234,obama supporters,1
1235,russian dressing,1
1236,book,1
1237,prsidential debate,1
1238,republican party of virgina,1
1239,australian labour party,1
1240,brett kavanaugh,1
1241,investment banker,1
1242,goldsman sachs,1
1243,anti corruption bills,1
1244,green voter,1
1245,metal straw,1
1246,politican,1
1247,libertard,1
1248,repbulican party,1
1249,f. a. hayek,1
1250,alaska libertarian party,1
1251,russian backed republican party,1
1252,grren party voters vs outdoor party voters,1
1253,john kenneth galbraith,1
1254,dark memes,1
1255,failed policy,1
1256,john hickenlooper,1
1257,mascot,1
1258,american politician,1
1259,dakota johnson,1
1260,trumpcare,1
1261,vote,1
1262,perry,1
1263,st. catherine episcopal church,1
1264,government perry,1
1265,ice cream,1
1266,for profit healthcare,1
1267,stock buyback,1
1268,illegal cannabis,1
1269,climate destruction,1
1270,laser pointer,1
1271,middle school,1
1272,asylum,1
1273,1965 republican party platform,1
1274,recreational cocaine,1
1275,friend of kardashian,1
1276,alliances with racists,1
1277,mises institute,1
1278,dr. jo,1
1279,government politican,1
1280,gun,1
1281,donald trump presidency,1
1282,us politician,1
1283,cockroach,1
1284,people in positions of power,1
1285,billionares,1
1286,people in general positions of power,1
1287,people in position of power,1
1288,lindsay graham memes,1
1289,lindsay graham,1
1290,donald trump memes,1
1291,us citizenship,1
1292,melania trump parents,1
1293,chinese virus tweet,1
1294,marianna williamson,1
1295,christine blassy ford,1
1296,joe biden. 2016,1
1297,thanks giving,1
1298,lawsuit,1
1299,dnc fraud lawsuit,1
1300,ben marnanke,1
1301,ben bernanke,1
1302,democracy,1
1303,dem debate,1
1304,republican american,1
1305,foreign policy,1
1306,the entire world,1
1307,joseph goebbels,1
1308,republican,1
1309,fema camps,1
1310,lgbqt,1
1311,election workers,1
1312,election wokers,1
1313,taylor swift,1
1314,republic party,1
1315,small business owner,1
1316,small business,1
1317,carey abe,1
1318,heidi cruz,1
1319,jacinda ardern,1
1320,donald trump tweet,1
1321,ellen degeneres,1
1322,germany green party,1
1323,senator mccarthy,1
1324,ealing green party,1
1325,repulicants,1
1326,state of union,1
1327,nicholas sandmann,1
1328,politicial party,1
1329,cbs news,1
1330,2012,1
1331,obi van kenobi,1
1332,jabba the hutt,1
1333,kkk isis,1
1334,iwillvote.com,1
1335,tom mulcair,1
1336,elizabeth may,1
1337,western civilization,1
1338,european union (eu),1
1339,beach party,1
1340,liberal bourgeoisie,1
1341,debbie wasserman schultz,1
1342,lationo immigrants,1
1343,lationo,1
1344,shrek,1
1345,bill c-51,1
1346,black holes,1
1347,blackholes,1
